Time,Sent,Received,In (kb/s),Out (kb/s)
5.0021453529998325,13,1192,-0.07844726579389165,-5.409520150903751e-05
5.513147369999842,20,1844,951.4964499763121,0.6457881618783818
6.013539365999804,20,1776,936.1412504148859,0.659483799607871
6.50128034699992,14,1311,707.601594333683,0.47156217351560614
7.0014111649998085,21,1865,982.8287790222176,0.677823982667873
7.502378819999649,16,1361,715.8272536313679,0.538955900137112
8.00131475399985,19,1770,936.0302943189766,0.6052870302863501
8.50123167799984,21,1873,987.8138526352201,0.6901144720480956
9.001261211999918,14,1257,662.6547084438474,0.45997411449688513
9.50983224499987,21,1920,995.4825923129332,0.6783694520724147
10.010194879999744,21,1876,988.1422964397402,0.6895006002311974
10.501271930999792,14,1263,677.7335196127489,0.4683588061707175
11.001450911999655,21,1881,990.9639179783204,0.677761932054995
11.501864768999894,15,1436,756.5438788408693,0.5095742313660815
12.001205264999953,17,1600,845.4764834267984,0.5487233117050329
12.501245150999694,19,1826,962.9989265292292,0.629950890288195
13.00123505700003,14,1251,659.7394111831277,0.46000935107035323
13.50817499499999,21,1864,968.698585686748,0.6805539962814571
14.008224363999943,21,1852,976.2453341389357,0.6879318823604721
14.50133152699982,14,1238,661.8091140843625,0.4664297877981239
15.019810249999864,21,1863,946.7948793724338,0.6538358952098633
15.521657498999957,20,1819,956.5509519794806,0.6575685023731757
